14	16
32	32
0	0	0	1	1	2	2	2	3	2	2	4	4	4	5	5	
6	6	6	7	8	9	9	9	10	9	9	11	11	11	12	12	
13	13	13	14	15	16	13	13	13	13	13	13	13	13	13	13	
13	17	18	19	20	21	22	22	22	23	24	22	25	26	27	13	
28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	
44	45	46	31	47	48	49	50	51	52	53	54	55	56	57	58	
13	59	60	61	62	63	64	65	66	67	68	69	70	71	72	13	
13	13	13	73	74	75	13	13	13	76	13	13	13	77	78	13	
13	13	13	79	80	13	13	13	13	13	13	13	13	81	82	13	
13	13	13	83	84	13	13	13	13	13	13	85	86	87	88	89	
13	13	13	13	13	13	13	13	13	13	13	90	91	91	91	91	
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	
92	92	92	93	93	94	94	94	95	94	94	96	96	96	97	97	
98	98	98	99	99	100	100	100	101	100	100	102	102	102	103	103	
